rand1,rand2,rand3,rand4
85,113,63,77

5,0,16,5
18,1,24,9
24,16,24,14
39,16,35,14
44,17,38,31
62,18,44,32
64,28,44,46
64,52,46,46
64,56,68,46
66,73,73,48
67,88,74,57
67,96,92,57
67,100,94,77

17,7,1,1
31,8,11,2
35,8,11,24
36,21,14,33
56,23,14,37
58,31,27,40
59,31,52,40
72,35,56,45
82,37,70,45
86,40,85,49
103,47,87,49

4,4,13,5
23,11,13,5
37,14,17,10
38,35,21,10
39,39,21,31
59,45,21,31
63,45,39,35
65,46,43,54
82,50,46,56
82,68,50,60
84,77,64,61
106,77,68,61

2,0,0,24
3,16,8,25
5,16,32,25
28,16,35,25
36,34,35,25
37,44,35,40
41,44,52,45
43,44,71,50
43,45,71,75
47,45,85,83
73,71,85,109

3,22,1,0
7,37,8,0
11,37,16,14
19,37,20,28
25,38,20,47
32,38,20,66
32,57,22,71
38,59,39,72
42,74,43,75
55,81,49,75
72,85,51,78
77,106,51,78

17,2,3,4
21,4,7,20
22,19,12,25
23,23,33,25
40,23,33,34
60,23,33,40
60,30,52,40
62,32,71,43
62,36,89,47
66,36,102,56

17,9,0,0
26,24,2,0
27,29,3,19
27,32,11,34
27,54,14,35
27,55,18,56
33,70,22,57
44,71,23,70
46,79,37,72
66,80,42,72
84,84,42,76
88,87,60,77
104,87,64,83

0,7,13,6
0,28,13,11
5,42,18,13
9,58,19,18
16,77,19,18
17,79,42,18
20,83,60,19
20,100,65,23

15,5,4,2
20,5,11,16
21,12,25,20
28,12,44,20
40,25,45,20
44,25,65,22
44,49,66,23
47,72,66,23
53,74,82,25
67,82,82,29
67,104,86,29

24,2,0,0
26,5,17,4
46,6,21,5
60,12,21,11
60,25,34,11
63,28,54,11
63,28,58,33
63,29,76,40
68,48,76,42
68,56,80,56
69,77,84,56
70,81,99,62
70,95,102,71

4,18,1,3
18,18,4,12
39,18,5,16
53,26,9,16
53,48,12,17
53,69,12,22
57,69,13,43
73,69,23,43
75,73,38,48
78,86,42,54
83,87,62,54
106,89,62,55

3,17,6,0
25,21,6,0
39,32,6,1
39,38,24,3
47,55,24,4
48,63,28,17
54,67,31,30
62,81,35,30
62,81,41,50
73,96,41,50
75,118,41,52

4,4,4,14
4,7,7,34
4,7,28,39
4,14,32,54
17,23,36,54
24,37,36,59
29,41,36,76
43,42,41,82
44,42,53,95
44,49,53,114

2,16,1,7
2,23,14,13
25,26,14,13
33,27,15,29
33,33,19,45
34,51,26,45
47,51,32,52
60,61,35,52
69,76,35,54
69,91,35,65
84,94,39,69
85,102,52,73

11,0,0,15
25,3,0,24
26,17,6,29
44,17,11,32
51,19,28,32
60,19,28,49
65,23,31,63
67,26,32,83
74,41,36,83
90,47,36,87
90,47,44,105

0,13,7,6
3,36,7,6
4,37,17,20
7,37,35,25
10,39,36,45
10,39,40,67
14,45,40,83
30,46,41,91
30,61,42,101

0,22,4,0
2,26,8,16
4,26,8,40
20,26,8,50
21,31,10,68
21,34,29,72
21,42,33,86
25,59,36,88
28,72,44,90
33,87,50,90
36,102,50,98

7,3,2,14
23,6,2,21
36,10,10,22
37,11,29,27
44,12,29,45
53,26,29,48
56,27,47,52
82,53,73,52
83,69,78,56
83,79,91,59
83,95,91,69
88,95,91,90
88,116,92,94

4,0,17,5
4,0,24,24
30,26,50,24
30,50,50,26
49,57,50,26
50,72,60,26
56,92,60,26
61,108,60,31

11,0,15,0
11,13,28,0
29,20,28,1
29,32,28,15
33,45,32,20
35,61,39,21
35,61,61,25
35,65,74,34
56,67,76,35
56,85,82,37
69,88,88,41
75,88,104,45

0,7,3,16
2,18,3,29
6,25,18,29
21,28,22,33
36,36,25,33
36,55,25,40
54,59,25,44
61,63,40,44
78,66,42,48
85,84,43,48
98,94,46,48
102,102,60,48

1,9,0,16
14,10,8,20
18,15,21,24
19,24,24,37
37,27,29,37
45,43,31,37
49,46,31,56
56,50,45,57
59,56,45,74
83,56,45,76
91,56,60,79
92,62,77,81
92,62,86,98
95,82,86,101

19,1,0,6
19,5,21,7
25,7,21,25
29,15,35,25
30,15,51,34
43,17,58,38
46,18,61,57
54,18,65,71
58,19,83,74
59,19,101,81

0,3,0,23
0,6,1,45
0,24,3,51
7,24,22,51
24,28,24,54
42,29,28,57
49,33,41,59
49,34,46,79
51,55,46,82
56,56,49,99
65,57,65,99
74,71,68,99
77,71,81,109

0,15,4,7
7,29,5,11
33,55,31,11
37,56,32,31
39,56,34,53
39,77,39,53
42,80,46,66
48,93,46,73
48,107,47,84

2,2,22,0
16,6,30,0
20,7,51,0
26,9,55,14
39,17,56,18
52,20,64,20
61,24,64,33
70,24,65,49
90,27,68,49
94,32,81,53
97,32,102,55

6,0,7,13
19,12,8,13
27,29,9,13
31,48,12,13
33,72,12,13
33,81,29,13
37,99,33,13
37,99,56,16
39,99,57,39
39,115,66,40

5,1,18,2
9,9,18,16
13,9,19,37
13,21,20,50
13,47,46,76
17,67,48,76
33,67,49,85
36,72,63,89
38,83,76,89
38,97,82,95
38,122,82,96

2,1,7,16
10,5,21,16
11,15,36,16
30,21,36,17
38,25,36,31
43,25,38,50
63,29,38,52
72,30,41,65
72,39,44,79
93,39,48,80
105,39,49,93

1,1,20,4
18,1,29,4
23,3,48,4
42,7,48,7
50,7,52,21
50,22,56,28
50,22,68,42
66,31,69,42
80,40,70,44
80,45,85,50
84,49,102,51

2,23,1,0
17,25,8,2
30,26,9,13
39,26,23,16
40,31,39,20
43,32,59,22
63,37,59,23
69,51,65,23
82,55,68,29
97,59,75,29
118,59,76,33

0,1,11,14
5,5,26,16
5,20,33,20
9,39,34,22
16,39,52,23
33,39,52,32
34,39,57,52
34,39,62,73
41,43,77,73
50,46,90,74
52,46,104,84

21,0,1,4
37,4,7,4
37,8,9,24
42,21,13,28
43,27,18,42
43,27,41,45
44,27,53,58
47,28,53,80
48,45,57,84
48,58,63,91
67,58,63,98
70,75,65,102

19,2,0,5
30,15,0,7
31,32,0,15
36,49,0,19
62,49,26,45
62,57,43,46
68,63,43,60
68,71,43,78
68,71,56,91
85,74,62,91
89,92,65,92
90,92,67,115

