max1,rand1,rand2,rand3
58,31,45,74
64,34,58,78
64,35,65,96
70,49,65,102

0,0,4,22
16,2,8,26
21,2,29,26
25,17,36,26
29,30,40,31
32,31,40,53
36,48,40,58
40,48,40,80
47,49,55,83
52,51,69,88
59,57,69,101

5,5,13,3
24,6,15,7
26,12,28,12
45,16,29,14
50,16,50,14
68,20,54,14
68,37,62,15
81,44,63,20
88,44,68,34
90,44,73,53
104,48,81,53

18,1,3,4
18,2,25,7
28,2,27,21
34,5,31,34
47,6,39,38
47,24,46,39
48,44,46,44
48,58,54,48
61,63,59,51
78,64,59,59
80,65,78,63
83,68,78,83
100,71,78,89

26,0,26,26
39,13,26,26
39,20,30,41
61,22,30,43
74,33,32,43
83,33,32,60
84,35,34,81
84,57,38,81
87,64,54,81
88,85,54,85
88,99,63,88
94,118,64,88

17,0,5,4
21,4,9,18
21,5,29,23
22,25,30,27
22,44,30,34
24,61,34,37
24,86,34,38
41,86,39,42
49,90,52,43
49,90,65,56
56,90,78,62
61,90,99,62
67,90,118,63

0,3,1,22
0,6,5,41
0,11,20,47
5,12,33,54
9,17,50,54
33,19,50,54
34,23,55,70
38,26,55,89
45,26,74,89
68,26,76,90
69,34,89,94
93,35,89,95
111,35,92,100

17,2,2,5
40,2,2,8
44,2,24,8
67,5,24,8
86,5,31,8
86,29,33,8
87,29,38,28
87,42,51,28
89,45,51,49
92,54,52,62
106,57,52,71

0,5,17,4
0,6,34,12
0,13,40,25
2,36,40,26
2,37,61,30
8,53,61,34
8,61,75,38
12,62,96,38
12,62,111,49

0,2,10,14
1,2,12,37
5,3,16,54
31,29,16,80
34,29,21,98
47,34,29,98
67,40,29,98
79,40,29,112

22,0,4,0
25,0,8,19
33,3,23,19
37,6,24,37
40,11,24,55
40,32,25,59
44,38,38,62
58,42,46,62
58,46,60,70
58,54,74,74
75,55,75,81
95,59,76,82
100,59,90,89

2,22,2,0
15,25,10,2
22,38,14,4
22,57,15,10
23,74,19,14
28,74,40,14
39,89,40,14
39,104,44,21

4,4,13,5
5,8,34,5
6,12,38,22
6,20,38,40
22,26,42,40
28,28,46,54
32,33,50,67
32,40,50,86
36,45,66,87
36,62,71,91
36,79,76,95
49,79,83,101

14,0,3,9
25,0,17,10
25,4,31,18
43,8,35,18
45,24,39,22
49,45,39,23
54,51,39,38
56,66,39,47
71,74,39,50
80,89,39,52
83,90,57,56
97,95,64,56
110,100,66,62

2,4,16,4
17,4,27,4
17,22,32,7
17,31,32,24
18,37,45,30
20,42,62,32
43,42,65,32
43,58,72,35
60,67,72,35
86,93,72,61
89,96,78,75
94,102,92,76

19,7,0,0
37,7,7,1
40,29,7,2
50,45,7,2
50,52,11,17
56,56,27,17
60,60,31,31
74,62,38,34
75,68,38,53
82,82,43,53
96,84,49,57
113,84,52,63

2,1,3,20
24,1,7,20
26,5,8,39
26,14,12,52
47,18,12,53
50,18,21,67
54,21,23,84
54,21,48,85
55,26,64,89
59,31,68,102

8,16,0,2
12,37,0,3
28,45,2,3
29,47,12,16
29,54,12,35
36,58,25,37
41,72,32,37
45,93,32,38
66,97,32,39
68,97,43,52
82,102,50,52

6,0,3,17
13,16,5,18
28,20,5,25
39,33,5,27
39,33,28,30
43,47,36,30
44,67,36,35
59,67,36,46
73,75,37,49
91,75,45,49
107,76,50,53

3,0,5,18
3,7,24,18
22,11,27,18
22,13,27,42
24,31,29,46
48,31,29,48
52,46,36,48
70,46,40,52
85,49,48,52
86,63,55,56
98,77,55,56
105,83,55,69

1,16,9,0
1,17,16,18
5,24,30,19
19,24,38,23
19,47,41,23
39,50,44,23
39,67,45,31
43,69,47,49
48,73,48,65
50,83,48,79
63,91,52,80
68,95,56,93
81,95,64,98
94,102,66,102

5,0,20,1
12,2,20,18
13,2,28,35
14,2,32,56
15,7,32,76
19,25,36,76
23,33,50,76
28,41,50,89
28,41,55,110

13,5,8,0
17,13,8,14
26,15,21,16
27,36,21,20
30,40,24,36
36,56,25,39
50,60,29,43
50,73,42,43
56,74,43,61
56,74,51,79
70,74,54,88
70,82,71,89
88,83,72,95
91,87,87,99
92,106,93,99

14,6,1,5
14,8,17,13
14,13,34,17
37,14,36,17
37,18,42,33
39,33,47,37
40,37,67,38
40,39,86,43
41,51,99,43
59,57,101,43

17,5,0,4
36,11,0,5
52,15,0,11
56,16,4,28
61,21,4,44
61,21,11,63
65,28,26,63
71,47,27,63
71,47,45,71
71,47,51,91
72,54,69,91
72,56,92,92
76,61,92,109

0,16,0,10
0,31,4,17
4,51,6,17
30,51,32,43
30,51,54,47
36,51,59,62
41,65,63,65
41,82,64,73
42,87,65,92
57,87,68,100

1,8,1,16
5,9,21,17
9,10,25,34
22,17,31,34
26,35,31,38
27,52,35,42
36,53,50,43
36,70,51,51
36,78,56,64
39,81,62,78
39,83,67,97
39,105,67,101

0,2,0,24
1,6,0,45
1,22,0,55
26,22,0,56
26,37,5,62
26,63,31,88
29,63,38,104

3,0,18,5
6,5,36,5
19,13,36,10
27,14,40,23
27,15,54,34
29,17,76,34
43,21,80,38
44,41,80,43
48,45,80,61
70,45,81,64
83,46,85,72
98,46,89,79
113,50,96,79

22,0,4,0
22,15,15,0
35,17,26,0
56,17,27,4
59,21,46,4
65,21,64,6
65,23,69,25
74,39,70,25
82,39,83,30
88,56,86,30
88,61,107,30

0,9,16,1
0,13,22,17
4,20,37,17
4,40,37,23
5,58,37,30
19,63,41,33
34,66,48,34
56,67,49,36
57,67,54,56
77,69,54,60
81,82,58,65
85,83,64,80
99,83,67,89
99,88,84,93
103,88,85,114

13,0,7,6
18,5,7,22
21,22,11,24
34,26,11,33
36,39,19,36
43,39,32,42
43,61,32,46
50,74,37,47
51,77,55,51
53,83,55,69
53,105,56,72

0,2,19,5
8,6,20,18
9,29,22,18
22,40,24,18
41,40,24,25
42,40,40,34
56,40,47,39
56,62,47,43
56,82,47,49
72,89,47,52
81,89,50,66
85,90,56,81
87,98,57,96
104,99,61,100

1,1,23,1
8,7,23,14
25,8,28,17
25,14,33,32
26,14,42,48
44,22,42,48
49,24,47,62
68,24,53,63
71,44,56,63
92,44,56,68
96,52,56,82
122,52,82,108

11,1,0,14
17,19,0,16
43,19,26,42
47,39,28,42
49,45,46,42
55,45,50,58
55,48,71,60
55,67,76,62
69,78,77,62
78,79,93,62
78,87,95,78
78,91,117,78

