paranoid1,paranoid2,rand1,rand2
41,103,91,103

6,5,14,1
24,10,14,4
42,10,18,8
55,12,23,14
68,21,25,16
76,21,38,21
76,34,51,21
76,51,52,29
77,72,56,29
79,85,60,36
79,99,64,44
85,102,80,45

0,4,14,8
2,7,20,23
2,11,34,31
7,27,39,31
8,31,43,48
30,32,43,51
30,38,43,71
34,56,43,75
34,62,59,79
34,79,68,79
50,79,68,89
68,79,68,97
72,80,69,117

1,0,17,8
15,1,27,9
16,1,48,13
19,14,54,17
23,30,55,22
23,53,57,23
36,58,57,31
36,60,81,31
49,64,86,35
60,64,86,50
70,65,86,65
74,69,91,78
76,75,109,78

3,4,13,6
3,27,13,9
3,32,30,13
23,33,30,18
26,33,43,28
44,35,46,31
46,56,49,31
51,56,66,35
54,59,66,55
61,73,71,55
61,94,71,60
61,117,72,62

0,5,21,0
3,20,25,4
4,41,29,4
26,43,31,4
31,51,31,17
31,66,34,25
44,67,39,32
44,68,57,39
45,79,70,40
61,80,79,40
83,82,81,40
83,87,82,60
104,87,85,62

0,2,3,21
5,9,3,35
9,23,11,35
9,24,15,56
17,24,19,70
19,24,43,70
24,24,43,91
28,24,65,91
33,24,68,109

3,16,5,2
10,33,6,3
13,51,6,8
17,55,24,8
30,62,29,9
33,62,30,31
34,83,32,33
36,107,32,33

3,7,0,16
10,11,15,16
10,25,15,28
32,25,18,29
33,43,23,31
33,59,33,31
56,59,33,34
60,79,33,36
76,79,40,39
94,81,42,43
98,96,45,47
99,104,59,50

0,3,4,19
3,7,4,38
13,7,18,40
26,8,26,44
30,25,31,44
43,26,42,45
47,26,44,65
67,26,46,69
82,26,56,70
100,27,63,70

13,2,4,7
14,18,9,11
14,18,34,12
33,20,34,17
34,20,38,38
41,20,38,57
41,25,39,77
41,29,44,94
59,30,44,101

8,0,14,4
11,5,28,8
11,30,28,9
14,36,45,9
24,36,46,24
24,36,71,25
41,44,71,26
42,45,72,49
42,50,89,53
45,50,91,74
61,51,100,74

20,0,1,5
23,13,5,11
25,13,28,12
28,19,43,14
39,20,43,28
43,21,56,36
43,38,60,41
43,56,68,41
56,68,68,42
70,76,68,46
74,93,70,49
94,95,73,50
94,108,86,50

0,12,13,1
1,16,34,1
8,33,34,3
8,46,39,11
17,46,54,13
17,57,56,26
19,66,69,28
20,79,73,36
33,82,82,37
46,86,85,43
72,112,85,69

0,4,22,0
0,17,31,4
3,22,31,22
3,28,32,41
23,29,32,46
39,29,35,53
39,29,47,67
45,46,49,68
66,46,50,72
67,47,61,85
80,51,69,86
94,51,81,86
102,51,81,104

4,4,13,5
24,5,18,5
37,6,25,10
38,27,25,14
38,47,31,14
39,53,36,28
39,55,60,28
56,60,64,28
77,61,64,32
80,61,78,41
100,62,82,42

4,5,13,4
4,11,33,4
4,12,36,26
25,17,36,26
31,31,40,28
31,31,41,53
31,31,64,56
32,53,67,56
35,60,81,58
36,78,86,60
54,84,86,62
60,98,92,62
60,98,100,80

3,14,9,0
4,15,9,24
4,28,13,33
7,34,13,50
16,36,13,65
17,40,18,81
31,46,19,86
31,65,21,91
33,84,24,93
33,98,33,96
33,107,33,113

10,16,0,0
22,17,13,0
22,18,20,18
22,21,42,19
26,23,46,35
42,30,49,35
46,30,49,57
52,46,53,57
54,57,66,57
55,75,73,57
59,79,74,74
64,83,87,78
78,91,91,78
82,91,109,82

1,0,5,20
3,15,10,24
6,15,27,30
15,29,27,33
32,29,31,38
33,29,31,63
56,29,34,63
56,32,34,86
72,37,38,87
75,37,41,107

14,7,0,5
27,7,0,18
40,8,12,18
40,29,17,18
56,32,23,19
56,42,25,33
57,52,25,48
57,58,26,67
57,58,28,91
75,58,28,99
81,58,45,102

1,17,5,3
2,39,5,6
3,59,10,6
4,78,15,7
12,79,28,11
27,83,30,16
32,101,33,16

0,21,4,1
13,22,8,9
32,23,9,14
36,24,26,18
45,24,40,21
45,28,60,23
47,45,67,23
47,45,74,42
64,46,74,50
64,63,83,50
76,63,97,50
76,73,112,51

7,4,14,1
7,9,16,20
33,35,42,20
33,43,60,20
33,43,66,40
59,69,66,66
64,69,67,86
65,69,88,90
81,69,94,94
81,83,97,103

0,4,2,20
7,22,2,21
7,22,24,25
14,23,42,25
26,23,42,39
31,38,46,41
31,38,69,44
51,44,69,44
56,61,69,48
64,66,82,48
69,66,99,52
69,67,123,53

0,0,1,25
1,5,1,45
6,5,18,49
22,6,18,58
30,19,21,60
33,32,31,60
33,41,47,61
34,43,51,80
34,45,71,84
34,50,85,91
51,50,90,95
52,55,93,112

0,18,0,8
4,18,22,8
7,31,29,11
12,44,29,19
13,58,33,26
30,63,34,29
30,73,47,32
30,81,47,50
35,88,61,50
35,88,65,72
48,94,72,72
53,95,88,76
53,96,99,90
57,96,112,99

4,6,0,16
4,13,14,21
11,29,16,22
13,42,19,30
19,42,20,49
23,45,39,49
23,51,41,67
39,55,41,73
43,56,41,94
43,56,50,111

25,0,0,1
44,0,4,4
45,17,5,11
59,18,12,15
59,38,14,19
70,51,14,21
83,53,14,32
83,60,27,38
105,60,27,42

7,19,0,0
25,19,0,8
29,35,0,14
29,53,8,14
30,76,9,15
30,77,34,15
51,77,34,20
72,80,35,21
73,89,51,21
73,102,54,31

13,0,0,13
21,0,3,28
47,0,29,54
49,22,31,54
53,40,35,54
67,48,35,58
68,52,52,62
68,57,72,63
68,77,73,68
68,79,88,77
69,79,97,93
69,82,119,94

26,26,0,26
27,30,3,44
43,30,12,45
49,43,16,48
50,55,16,61
75,55,16,62
75,56,36,67
81,59,40,80
88,60,58,80
110,60,62,80

26,26,0,26
30,28,16,30
43,29,20,38
57,32,20,47
72,37,20,53
92,38,20,58
92,45,24,73
92,64,24,80
96,68,24,98
100,69,45,98

14,4,2,6
14,25,4,9
14,42,5,17
31,46,10,17
31,46,16,37
36,48,31,41
52,48,37,45
56,53,54,45
56,58,59,61
61,61,60,78
62,65,73,86
80,66,73,93
80,75,90,93
80,78,105,101

