max1,max2,max3,max4
15,25,29,61
16,30,48,62
18,36,61,67
19,39,61,89
33,47,63,91
36,47,85,92
36,49,98,103

14,2,8,2
23,5,21,3
31,18,22,7
36,18,22,28
36,24,42,28
36,24,50,46
37,40,59,46
40,44,60,64
43,66,60,65
43,66,85,66
48,66,100,72

1,4,5,16
4,11,19,18
7,26,27,18
7,41,35,21
13,48,35,34
17,53,48,38
34,57,52,39
36,60,57,55
56,62,61,55
62,76,63,59
81,76,67,62
85,77,86,64
103,84,86,65

15,0,5,6
29,4,12,7
33,18,12,15
41,23,12,28
60,24,16,30
74,24,27,31
91,27,30,34
99,42,33,34
99,46,35,54
103,63,36,58

7,0,19,0
24,1,23,4
37,3,27,11
56,9,28,11
60,22,33,15
64,26,49,17
71,26,65,20
74,48,65,21
83,52,78,21
86,71,78,25
103,75,78,30

1,19,5,1
27,45,31,1
53,71,31,27
53,74,34,47
58,78,51,47
62,79,72,47
79,84,74,49
84,101,78,49

0,3,14,9
0,27,16,9
8,32,16,22
14,33,32,25
19,34,37,40
21,56,39,40
27,56,45,54
27,63,45,73
28,78,53,75
31,81,67,81
35,83,69,99
35,83,87,107

13,0,9,4
27,12,9,4
27,15,31,5
32,15,36,21
45,16,36,33
45,23,54,34
45,29,54,54
45,47,56,60
45,48,69,72
46,64,78,72
46,65,103,72

1,24,1,0
19,24,8,1
19,42,12,5
21,42,16,25
34,46,21,29
57,49,21,29
66,63,24,29
83,68,24,33
83,68,45,38
88,82,48,42
92,85,53,56
99,101,53,59

1,0,22,3
18,4,22,8
21,27,22,8
34,33,24,13
35,57,24,14
36,74,30,16
40,75,43,24
48,75,47,38
48,83,62,41
60,96,63,41
60,104,77,45

4,2,0,20
6,2,6,38
10,2,14,52
12,17,23,52
13,21,41,55
28,29,41,58
29,46,49,58
29,61,56,62
31,65,62,76
48,66,63,83
48,69,70,99
56,84,72,100

2,17,1,6
2,36,1,13
7,52,4,15
8,55,4,37
21,55,13,41
23,74,14,45
25,77,17,63
42,82,21,63
42,99,25,68
57,103,28,72

15,0,4,7
15,22,8,7
33,26,8,11
38,43,12,11
39,58,14,19
60,59,18,19
62,64,19,37
62,64,20,62
62,85,25,62
77,85,36,62
81,89,40,76
88,89,55,80
91,106,61,80

5,0,1,20
13,0,1,38
14,0,22,42
37,0,23,44
45,17,23,45
45,39,27,45
62,46,28,46
63,46,32,67
71,47,46,70
75,51,46,88
76,54,67,89
76,58,83,95
89,58,88,103

4,17,1,4
4,24,2,22
12,37,2,27
17,56,2,29
24,71,6,29
38,77,12,29
61,78,12,31
61,81,35,31
65,81,38,50
65,83,62,50
66,91,62,67
79,104,62,67

15,6,3,2
15,10,3,24
28,10,11,29
28,31,11,34
30,51,15,34
32,51,16,57
50,53,21,58
70,59,21,58
87,59,21,67
89,64,40,67
93,66,58,69
93,82,61,76
96,87,75,80
100,107,75,82

13,1,5,7
13,5,14,20
30,9,15,24
32,22,19,31
50,29,19,32
50,29,43,34
50,49,48,35
76,49,74,61
84,52,87,63
103,59,87,63

21,0,5,0
22,3,22,5
22,4,47,5
26,20,49,9
29,23,66,12
32,27,66,31
32,49,66,35
51,51,71,35
60,51,87,36
64,69,87,40
67,82,94,43
67,82,113,50

1,0,4,21
14,3,8,27
32,5,14,27
37,9,15,43
43,22,20,45
45,23,24,64
59,23,30,70
73,28,34,73
87,31,35,81
90,45,35,90
91,45,35,115

12,0,14,0
32,4,14,2
42,4,17,15
45,19,25,15
51,19,44,16
52,19,51,34
52,40,52,38
66,45,53,44
75,59,53,47
80,63,70,47
97,72,70,47
99,77,88,48
99,97,92,50
101,97,96,70

0,22,1,3
3,22,2,25
8,25,2,43
26,30,2,46
27,31,15,57
28,31,23,74
33,32,43,74
37,39,44,88
38,56,50,90
44,70,51,95
44,76,58,108

0,0,13,13
1,10,27,14
3,28,27,20
24,29,31,20
24,47,34,25
26,53,52,25
31,53,52,46
39,57,66,46
40,75,73,46
40,76,73,71
40,100,73,73

13,0,4,9
13,18,8,13
17,19,25,17
19,19,48,18
24,27,61,18
41,33,61,21
42,39,65,36
46,59,65,38
50,60,83,41
66,60,87,47
68,67,90,61
83,72,92,65
87,72,99,80
92,85,103,84

3,20,1,2
5,25,14,8
9,30,31,8
14,31,51,8
14,36,72,8
16,40,74,26
17,41,98,26
21,46,102,39

0,13,3,10
15,14,7,16
15,20,10,33
35,20,12,37
41,20,15,54
59,24,15,58
65,42,15,60
78,43,18,69
78,43,20,93
78,56,22,104

0,0,19,7
16,4,23,9
20,12,37,9
20,30,45,9
27,34,60,9
27,52,65,12
42,57,69,14
44,70,69,25
49,83,70,32
52,93,70,45
52,93,76,65
56,112,79,65

5,13,0,8
6,21,3,22
7,42,7,22
25,42,15,22
25,51,30,24
39,63,30,24
41,63,31,47
41,77,41,49
44,80,48,62
46,94,54,66
57,94,69,66
77,94,72,69
79,94,91,74
96,101,91,76

4,4,18,0
11,5,22,14
11,12,26,29
12,17,46,29
27,17,56,30
28,22,69,37
30,22,74,56
33,35,83,57
50,42,84,58
66,45,85,64
73,46,90,77
74,54,90,94
74,73,93,98
78,73,93,120

19,3,3,1
20,28,3,1
26,34,17,1
33,48,17,6
35,67,18,10
41,85,18,12
42,90,22,28
54,90,36,28
67,91,43,33
81,103,43,33

18,2,5,1
31,10,10,1
31,32,14,1
48,34,16,6
57,35,32,6
73,39,37,7
73,45,42,22
84,45,43,36
104,47,43,40

21,0,4,1
21,13,10,8
27,19,24,8
49,19,28,8
49,35,34,12
50,39,36,31
63,39,43,37
70,53,45,40
96,79,71,40
113,83,71,45

0,9,4,13
7,9,18,18
13,27,20,18
30,27,24,23
34,32,24,40
42,47,24,43
62,48,24,48
66,49,43,50
70,57,43,64
70,82,44,64
74,101,45,66

